ID,Name,Language,Glottolog Name,Language Family,Genus,Longitude,Latitude,Place Label
67,Patricia Opondo,Luo (dholuo),Luo (Kenya and Tanzania),Nilotic,,31.53044238,-6.583568622,
68,Rogerdison Natsitsabui,Rikbaktsa,Rikbaktsa,Nuclear-Macro-Je,,-60.14440131,-8.605658689,
69,Jakelin Troy,Ngarigu,Southern Inland Yuin,Pama-Nyungan,,148.2635105,-36.4558303,
70,Tumi Uisu Paulo Matis,Matís,Matís,Pano-Tacanan,,-72.5311275,-4.9514917,
71,Tutushamum Puri Righi,Puri Kwaytikindo,Puri,Puri-Coroado,,-39.85424869,-24.89575131,
72,Dr.Su Zar Zar,Myanmar (Burmese),Burmese,Sino-Tibetan,,93.35421389,19.82080081,Myanmar
73,Psyche Loui,Cantonese,Yue Chinese,Sino-Tibetan,,116.8085644,24.92507911,Hong Kong
74,Minyu Zeng,HainanHua,Min Nan Chinese,Sino-Tibetan,,110.1956502,20.0462328,
75,Fang Liu,Mandarin,Mandarin Chinese,Sino-Tibetan,,119.4200584,32.1901111,
76,Great Lekakul,Thai,Thai,Tai-Kadai,,100.4935089,13.7524938,
77,Brenda Suyanne Barbosa,Mbyá-Guarani,Mbyá Guaraní,Tupian,,-57.19992131,-31.20853131,
78,Polina Dessiatnitchenko,Azerbaijani,North Azerbaijani,Turkic,,49.8326748,40.3754434,
79,Olcay Muslu,Turkish,Turkish,Turkic,,31.61197001,38.36344689,
80,Morzaniel Iramari Aranariutheri,Yanomami,Yanomám,Yanomamic,,-61.25,2.25,
