"","Name","Lang","LangAdditional","Genus","Family","Longitude","Latitude","Place","Flag","ID","FamilyTmp"
"46","Marco Antonio Correa Varella","Portuguese","Portuguese","Romance","Indo-European",-49.0828721427832,-26.0001404427832,"São Paulo",1,46,"Indo-European: Romance"
"63","Juan Sebastián Gómez-Cañón","Spanish","Spanish","Romance","Indo-European",-74.0836453,4.6534649,"Bogotá",1,47,"Indo-European: Romance"
"56","Martín Rocamora","Spanish","Spanish","Romance","Indo-European",-56.1913095,-34.9058916,"Montevideo, Uruguay",1,48,"Indo-European: Romance"
"49","Javier Silva-Zurita","Spanish","Spanish","Romance","Indo-European",-70.6504502,-33.4377756,"Santiago, Chile",1,49,"Indo-European: Romance"
"76","Ignacio Soto-Silva","Spanish ","Spanish","Romance","Indo-European",-73.1358145,-40.5732371,"Osorno",1,50,"Indo-European: Romance"
"10","Dilyana Kurdova","Bulgarian","Bulgarian","Slavic","Indo-European",25.4671755572168,45.6568770427832,"",1,51,"Indo-European: Slavic"
"74","Aleksandar Arabadjiev","Macedonian","Macedonian","Slavic","Indo-European",22.46184,41.6376,"",1,52,"Indo-European: Slavic"
"24","Wojciech Krzyżanowski","Polish","Polish","Slavic","Indo-European",15.2400451,52.7309926,"",1,53,"Indo-European: Slavic"
"15","Polina Proutskova","Russian","Russian","Slavic","Indo-European",30.316229,59.938732,"",1,54,"Indo-European: Slavic"
"80","Vanessa Nina Borsan","Slovenian","Slovenian","Slavic","Indo-European",17.6191797427832,48.2537007427832,"",1,55,"Indo-European: Slavic"
"5","Olena Shcherbakova","Ukrainian ","Ukrainian","Slavic","Indo-European",33.8715451,51.3359821,"",1,56,"Indo-European: Slavic"
"47","Diana Hereld ","Cherokee ","Cherokee","Southern Iroquoian","Iroquoian",-118.242766,34.0536909,"",1,57,"Iroquoian"
"39","Gakuto Chiba","Japanese","Japanese","Japanese","Japonic",142.3649743,43.770625,"Hokkaido, Japan",1,58,"Japonic"
"54","Shinya Fujii","Japanese","Japanese","Japanese","Japonic",130.321840514434,30.1733205144336,"Hyogo, Japan",1,59,"Japonic"
"9","Yuto Ozaki","Japanese","Japanese","Japanese","Japonic",137.309965157217,33.2333489572168,"Tokyo, Japan",1,60,"Japonic"
"37","Naruse Marin","Northern Amami-Oshima","Northern Amami-Oshima","","Japonic",126.883840257217,25.8005102572168,"",1,61,"Japonic"
"34","Teona Lomsadze","Georgian","Georgian","Kartvelian","Kartvelian",44.1117811,41.9818469,"",1,62,"Kartvelian"
"36","Sangbuem Choo","Korean","Korean","Korean","Koreanic",126.9782914,37.5666791,"",1,63,"Koreanic"
"55","Patricia Opondo","Luo (dholuo)","Luo (Kenya and Tanzania)","Western Nilotic","Nilotic",36.821945,-1.292066,"",1,64,"Nilotic"
"68","Rogerdison Natsitsabui","Rikbaktsa","Rikbaktsa","","Nuclear-Macro-Je",-57.49865,-11.25141,"",1,65,"Nuclear-Macro-Je"
"16","Jakelin Troy","Ngarigu","Southern Inland Yuin","Southeastern Pama-Nyungan","Pama-Nyungan",148.2635105,-36.4558303,"",1,66,"Pama-Nyungan"
"25","Tutushamum Puri Righi","Puri Kwaytikindo","Puri","","Puri-Coroado",-40.0505102572168,-24.6994897427832,"",1,67,"Puri-Coroado"
"65","Dr.Su Zar Zar","Myanmar (Burmese)","Burmese","Burmese-Lolo","Sino-Tibetan",95.9999652,17.1750495,"Myanmar",1,68,"Sino-Tibetan: Burmese-Lolo"
"14","Psyche Loui","Cantonese","Yue Chinese","Chinese","Sino-Tibetan",116.612302842783,24.7288175427832,"Hong Kong",1,69,"Sino-Tibetan: Chinese"
"33","Minyu Zeng","HainanHua","Min Nan Chinese","Chinese","Sino-Tibetan",110.1956502,20.0462328,"",1,70,"Sino-Tibetan: Chinese"
"38","Fang Liu","Mandarin","Mandarin Chinese","Chinese","Sino-Tibetan",119.4200584,32.1901111,"",1,71,"Sino-Tibetan: Chinese"
"75","Great Lekakul","Thai","Thai","Kam-Tai","Tai-Kadai",100.4935089,13.7524938,"",1,72,"Tai-Kadai"
"21","Brenda Suyanne Barbosa","Mbyá-Guarani","Mbyá Guaraní","Maweti-Guarani","Tupian",-54.55417,-28.56278,"",1,73,"Tupian"
"60","Polina Dessiatnitchenko","Azerbaijani","North Azerbaijani","Turkic","Turkic",49.8326748,40.3754434,"",1,74,"Turkic"
"48","Olcay Muslu","Turkish","Turkish","Turkic","Turkic",28.9662187,41.0091982,"",1,75,"Turkic"
